#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2004as	  16.638	 0.16207	 0.03139	  0.0325	 -136.07	    -159	    -179	    -195
2008gp	  16.474	 0.11348	 0.03303	 0.03245	 -257.67	    -265	    -256	    -314
2010ag	  16.563	 0.14382	  0.0334	 0.03336	   3.241	       8	     -37	      36
2005iq	  16.612	   0.104	 0.03404	 0.03292	 -141.55	    -141	    -140	    -187
2005iq	  16.599	 0.10705	 0.03404	 0.03292	 -141.55	    -141	    -140	    -187
PS15bsq	  16.527	 0.11345	  0.0343	 0.03309	 -179.38	    -178	    -186	    -225
2004L	  16.576	 0.20507	 0.03229	 0.03344	 -83.471	    -107	    -151	    -144
2003gn	   16.77	 0.17466	 0.03438	 0.03316	 -170.66	    -162	    -273	    -179
2003cq	  16.575	 0.18722	 0.03275	 0.03323	 -159.42	    -168	    -187	    -174
2006S	  16.656	 0.12634	 0.03224	  0.0331	 -240.12	    -266	    -154	    -315
2006gr	  16.666	 0.14952	 0.03467	 0.03352	 -220.64	    -216	    -342	    -234
2006gr	  16.685	 0.15266	 0.03467	 0.03352	 -220.64	    -216	    -342	    -234
ASASSN-16dw	  16.531	 0.15945	 0.03466	 0.03565	  371.74	     379	     606	     497
1996bl	  16.482	 0.10938	   0.036	 0.03481	  63.545	      92	      66	     136
2003kc	  16.604	 0.14665	 0.03316	  0.0341	 -200.59	    -221	    -183	    -257
ASASSN-15jl	  16.629	  0.1187	 0.03468	 0.03492	 -56.229	     -56	     -41	     -40
1992bg	  16.641	 0.15361	 0.03525	 0.03574	   169.3	     163	     254	     161
ASASSN-15tg	  16.608	 0.11963	 0.03561	 0.03445	 -241.33	    -236	    -334	    -263
PTSS-16efw	  16.981	 0.13668	 0.03557	 0.03542	 -76.081	     -84	    -197	    -103
2016fbk	  16.706	  0.1642	 0.03587	 0.03495	 -233.26	    -226	    -111	    -252
1994T	   16.68	 0.15085	 0.03457	 0.03564	 -55.058	     -80	      51	    -116
