#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
LSQ12gdj	  15.773	  0.1977	  0.0299	  0.0289	 -175.72	-164	-66	-226
2000cw	  16.287	  0.1594	  0.0301	   0.029	 -153.64	-141	-185	-143
2002de	  16.043	  0.2056	  0.0303	  0.0305	  289.98	292	670	513
ASASSN-16hh	  16.198	  0.1366	  0.0303	  0.0294	 -126.59	-111	-10	-114
Gaia16bba	  16.125	  0.1306	  0.0305	  0.0293	 -161.22	-151	-188	-162
2004ef	  16.166	  0.1442	   0.031	  0.0298	 -99.554	-85	-193	-80
2004ef	  16.222	  0.1677	   0.031	  0.0298	 -99.554	-85	-193	-80
AT2017lm	  16.265	  0.1542	  0.0306	    0.03	 -83.303	-79	-32	-108
ASASSN-16hr	  16.172	  0.2038	  0.0309	  0.0298	 -300.27	-301	-380	-341
1990O	  16.203	   0.118	   0.031	  0.0309	  6.1158	10	20	24
2008gg	  16.384	  0.1677	   0.032	  0.0311	 -18.695	-8	0	-14
2008gg	  16.207	  0.1319	   0.032	  0.0311	 -18.695	-8	0	-14
1999cc	  16.315	  0.1287	  0.0311	  0.0313	   46.98	63	358	173
2007bd	  16.212	  0.1242	  0.0304	  0.0314	  62.701	57	13	69
2007bd	  16.303	  0.1066	  0.0304	  0.0314	  62.701	57	13	69
2007bd	  16.185	  0.1085	  0.0304	  0.0314	  62.701	57	13	69
ASASSN-15hg	  16.366	  0.1409	  0.0299	  0.0311	 -105.01	-133	-146	-183
ATLAS17axb	   16.32	  0.1336	  0.0316	  0.0326	  351.47	357	524	418
CSS160428	  16.411	  0.1561	  0.0303	  0.0308	    -196	-213	-175	-243
2000dn	  16.386	   0.117	  0.0321	  0.0308	 -192.92	-192	-177	-240
2006en	  16.326	  0.1388	   0.032	  0.0308	 -236.15	-229	-324	-262
2006en	  16.408	  0.1343	   0.032	  0.0308	 -236.15	-229	-324	-262
2008bq	  16.412	  0.1308	  0.0323	  0.0328	  328.62	354	469	446
ASASSN-16oz	  16.154	  0.1952	   0.031	  0.0321	  42.874	30	73	18
2006az	   16.18	  0.1052	   0.031	  0.0316	 -124.25	-132	-137	-130
010026	  16.359	  0.1445	  0.0312	  0.0317	 -178.95	-188	-192	-201
