# Note: the tf_calib file is only used to identify calibrators and their
# respective values of m and M.  However, the value of M in the calib file
# depends on the estimated calibrator ("host") distance, which will be 
# replaced by the host distance determined from the distance network.
# Therefore duplicate values are not needed, and are in fact problematic.
# In this file duplicate calibrators are removed, and the columns mu_host,
# mu_error, anchor, source, and method are not used in the processing.
# (Some versions of the code might read them for verification purposes.)
#
# Also note that the internal logic of the main code will prevent NGC 4258
# to be used as a host; there is nothing fundamental about it, but the
# mechanism is different since mu_n4258 is not currently a parameter, and the
# relevant equation would need to have a different form.
#
# Host	PGC	m	M	M_error	mu_host	mu_error	anchor	source	method
# N3621	34554	8.89	-20.23	0.39	29.17	0.03	N4258	A21	trgb_hst
# N3627	34695	8.19	-21.44	0.3	30.21	0.03	N4258	A21	trgb_hst
N4144	38688	11.72	-17.43	0.57	29.14	0.03	N4258	A21	trgb_hst
N4236	39346	10.54	-18.37	0.51	28.24	0.04	N4258	A21	trgb_hst
N4244	39422	10.14	-18.45	0.5	28.12	0.07	N4258	A21	trgb_hst
N4242	39423	11.15	-17.46	0.57	29.36	0.07	N4258	A21	trgb_hst
N4298	39950	10.71	-19.89	0.41	30.82	0.18	N4258	A21	trgb_hst
N4455	41066	13.07	-16.42	0.63	29.06	0.07	N4258	A21	trgb_hst
N4517	41618	9.64	-20.25	0.39	29.57	0.14	N4258	A21	trgb_hst
# N4536	41823	9.82	-20.74	0.35	31.0	0.13	N4258	A21	trgb_hst
N4559	42002	9.97	-19.42	0.44	29.68	0.03	N4258	A21	trgb_hst
N4565	42038	8.38	-22.08	0.24	30.36	0.02	N4258	A21	trgb_hst
N4592	42336	12.06	-18.42	0.5	29.69	0.04	N4258	A21	trgb_hst
M104	42407	7.19	-22.74	0.14	29.79	0.03	N4258	A21	trgb_hst
N4605	42408	10.05	-17.41	0.57	28.67	0.02	N4258	A21	trgb_hst
N4631	42637	8.61	-20.25	0.39	29.28	0.02	N4258	A21	trgb_hst
M64	44182	7.88	-20.94	0.34	28.16	0.03	N4258	A21	trgb_hst
UA319	44982	14.32	-16.67	0.62	28.79	0.04	N4258	A21	trgb_hst
