#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
ASAS14ad	    16.3	 0.19158	  0.0264	0.027435	 -1246.7	    -436	    -290	    -548
ASAS14hp	  16.685	 0.19054	  0.0389	0.038674	  405.23	     230	     303	     244
ASAS14hr	  16.729	 0.19346	  0.0336	0.032723	  4.5753	      -8	       1	     -11
ASAS14hu	  15.547	 0.19057	  0.0216	0.021907	  86.375	     104	     179	      85
ASAS14jc	  14.326	 0.19168	  0.0113	0.011763	 -273.56	     -41	      74	     -98
ASAS14jg	  14.924	 0.23629	  0.0148	 0.01433	 -459.64	    -124	     -74	    -197
ASAS14jz	  14.725	  0.1908	  0.0158	0.015628	 -160.09	      -8	     -54	     -81
ASAS14kd	  15.723	 0.19149	   0.024	0.022768	 -234.96	    -120	    -147	    -141
ASAS14kq	  16.603	 0.19146	  0.0336	 0.03262	 -326.54	     -82	     -96	    -119
ASAS14lo	  15.571	 0.23593	  0.0199	0.020998	  579.75	     540	     528	     658
ASAS14lp	  11.482	 0.19051	  0.0051	0.0062288	  149.58	     182	     203	     257
ASAS14lq	  15.949	 0.26326	  0.0262	 0.02511	 -184.46	     -78	     -52	    -110
ASAS14lt	  16.339	  0.1942	   0.032	0.031432	 -278.46	    -253	    -291	    -359
ASAS14lw	  15.704	 0.19314	  0.0209	0.020275	  -77.07	     158	     117	     169
ASAS14me	  15.119	 0.19042	  0.0178	0.017386	 -51.248	      50	      81	      27
ASAS14mf	  16.502	 0.19189	  0.0311	0.030172	 -356.88	    -175	    -118	    -229
ASAS14mw	  15.982	  0.1904	  0.0274	0.027134	 -110.76	      81	     126	      56
ASAS14my	  15.442	 0.19146	  0.0205	0.021728	  -229.1	     -71	      34	    -129
ASAS15aj	  14.221	  0.1914	  0.0109	0.012008	  155.89	      -6	      44	     -60
ASAS15al	  16.783	 0.23645	  0.0338	0.033785	   377.2	      49	      61	      51
ASAS15as	  16.172	 0.19134	  0.0286	0.029704	 -437.71	    -116	    -130	    -157
ASAS15ba	  15.913	 0.19057	  0.0231	 0.02396	 -201.52	     367	     247	     475
ASAS15be	  15.693	 0.19109	  0.0219	0.021406	 -415.22	    -101	     -90	    -157
ASAS15bm	  15.362	 0.19158	  0.0208	0.021454	  454.28	     253	     309	     296
ASAS15cb	   16.83	 0.27402	    0.04	0.041126	 -168.11	     -15	     139	     -29
ASAS15cd	  16.717	 0.19123	  0.0343	0.035403	 -691.78	    -272	    -150	    -328
ASAS15da	  17.799	 0.25752	   0.055	 0.05512	 -606.03	    -260	    -169	    -333
ASAS15db	  14.383	 0.19052	   0.011	0.011378	 -162.17	     -53	     -18	     -58
ASAS15dd	  15.931	 0.19137	  0.0244	0.024785	  568.14	     231	     264	     289
ASAS15eb	  15.412	 0.19517	  0.0165	0.017338	 -171.07	      15	      59	      -3
ASAS15fr	  16.959	 0.24242	  0.0334	0.034495	 -251.09	     -60	      41	     -86
ASAS15ga	   10.53	 0.79064	  0.0066	0.007625	  139.87	     -47	     -30	     -60
ASAS15go	  15.475	 0.19075	  0.0189	0.019245	  171.42	     111	     135	     126
ASAS15gr	  15.949	 0.19056	  0.0243	0.024785	  712.77	     326	     379	     379
ASAS15hf	  13.915	 0.19061	  0.0062	0.0072719	   43.52	     486	     525	     570
