#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2005bg	  15.783	 0.24571	  0.0231	0.024188	 -333.06	     -96	    -330	    -158
2005bo	  14.863	 0.19076	  0.0139	0.015026	 -14.458	      98	     152	     106
2005el	  14.985	 0.19193	  0.0149	0.014885	 -49.222	     -41	      17	     -40
2005eq	  16.425	 0.19152	   0.029	0.028394	 -226.75	      45	      54	      59
2005hc	  17.437	 0.19143	  0.0459	0.044977	 -482.16	    -230	    -306	    -280
2005hj	   17.94	 0.19725	  0.0574	0.056382	 -133.65	    -209	    -235	    -246
2005iq	  16.809	  0.1916	   0.034	0.032909	 -394.26	    -141	    -140	    -187
2005ir	  18.239	 0.19622	  0.0763	0.075248	 -78.846	     -65	     -69	     -72
2005kc	   14.89	 0.19166	  0.0151	 0.01388	 -371.15	    -162	    -221	    -193
2005ki	  15.501	 0.19078	  0.0192	0.020376	  87.182	     130	     155	     165
2005ku	  17.247	 0.26491	  0.0454	0.044174	 -162.99	    -113	    -198	    -130
2005lu	  16.598	 0.25549	   0.032	0.031307	  -410.9	     -57	     -75	     -81
2005M	  16.078	 0.19031	   0.022	0.022974	 -165.91	      18	      10	      38
2005mc	  16.034	 0.24571	  0.0252	0.026003	 -378.66	     -94	    -113	    -103
2005na	  16.019	 0.19127	  0.0263	0.026811	 -309.15	     -27	    -100	     -18
2005W	  13.656	 0.19096	  0.0089	0.0079669	  79.473	      37	       9	      68
2006ax	  15.251	 0.19104	  0.0167	 0.01793	  -101.7	      65	     152	      60
2006bh	  14.255	 0.19081	  0.0109	0.010553	 -328.34	      31	      41	     -15
2006D	  13.669	 0.21256	  0.0085	0.0096207	  186.99	     194	     226	     224
2006ef	  15.383	 0.26353	  0.0179	0.017036	  -140.8	    -109	     -23	    -152
2006ej	  15.581	 0.23517	  0.0205	0.019397	 -482.27	    -297	    -254	    -390
2006eq	  17.391	 0.26031	  0.0495	0.048392	  238.22	      54	     199	      80
2006et	  15.527	  0.1913	  0.0226	0.021622	 -392.77	    -132	    -137	    -177
2006ev	  16.507	 0.24858	  0.0287	0.027586	 -402.26	    -142	    -190	    -173
